CLMS_PORT_ID,CLMS_PROF_CENTRE,CLMS_LOAN_CCY,CLMS_CMR_PRINCIPAL,SUMIFS,FILE_NAME,FILE_DATE
L*,44000600,AUD,value to pick up,"2,529,022.26",TBC,2022-01-17
L*,44007000,AUD,value to pick up,"190,000,000.00",TBC,2022-01-17
L*,60000505,AUD,value to pick up,"1,842,916.00",TBC,2022-01-17
L*,60000513,AUD,value to pick up,"18,000,000.00",TBC,2022-01-17
L*,60000514,AUD,value to pick up,"5,377,324.00",TBC,2022-01-17
I*+Z*+C*,60000017,AUD,value to pick up,"16,631,267.23",TBC,2022-01-17
L*,44000190,CAD,value to pick up,"103,058,962.70",TBC,2022-01-17
L*,44003005,CAD,value to pick up,"5,162,000.00",TBC,2022-01-17
L*,44007000,CAD,value to pick up,"420,000,000.00",TBC,2022-01-17
L*,60000506,CAD,value to pick up,"4,000,000.00",TBC,2022-01-17
L*,47004100,CHF,value to pick up,"82,076,202.13",TBC,2022-01-17
L*,60000506,CHF,value to pick up,"5,627,690.11",TBC,2022-01-17
L*,44003005,DKK,value to pick up,"60,000,000.00",TBC,2022-01-17
I*+Z*+C*,60000017,DKK,value to pick up,"48,816,226.91",TBC,2022-01-17
L*,14000850,EUR,value to pick up,"18,649,627.67",TBC,2022-01-17
L*,32000000,EUR,value to pick up,"974,875.13",TBC,2022-01-17
L*,32000024,EUR,value to pick up,"104,853.96",TBC,2022-01-17
L*,43000001,EUR,value to pick up,"681,818.18",TBC,2022-01-17
L*,43000002,EUR,value to pick up,"10,729,302.79",TBC,2022-01-17
L*,44000011,EUR,value to pick up,"1,014,086,104.19",TBC,2022-01-17
L*,44000110,EUR,value to pick up,"22,391,326.99",TBC,2022-01-17
L*,44000190,EUR,value to pick up,"135,707,902.45",TBC,2022-01-17
L*,44000523,EUR,value to pick up,"105,059.85",TBC,2022-01-17
L*,44000541,EUR,value to pick up,"5,918,800.00",TBC,2022-01-17
L*,44000544,EUR,value to pick up,"13,305,460.42",TBC,2022-01-17
L*,44000545,EUR,value to pick up,"80,000,000.00",TBC,2022-01-17
L*,44000565,EUR,value to pick up,"19,804,458.57",TBC,2022-01-17
L*,44000566,EUR,value to pick up,"16,208,690.00",TBC,2022-01-17
L*,44000573,EUR,value to pick up,"13,710,000.00",TBC,2022-01-17
L*,44000588,EUR,value to pick up,"29,541,435.08",TBC,2022-01-17
L*,44000593,EUR,value to pick up,"49,000,000.00",TBC,2022-01-17
L*,44000600,EUR,value to pick up,"761,201,058.85",TBC,2022-01-17
L*,44000720,EUR,value to pick up,"4,438,710.42",TBC,2022-01-17
L*,44000722,EUR,value to pick up,"414,615,326.13",TBC,2022-01-17
L*,44000728,EUR,value to pick up,"540,000.00",TBC,2022-01-17
L*,44001114,EUR,value to pick up,"32,196,500.00",TBC,2022-01-17
L*,44001122,EUR,value to pick up,"16,666,666.66",TBC,2022-01-17
L*,44003003,EUR,value to pick up,"50,936,109.12",TBC,2022-01-17
L*,44003005,EUR,value to pick up,"1,056,654,638.45",TBC,2022-01-17
L*,44003007,EUR,value to pick up,"49,556,785.69",TBC,2022-01-17
L*,44006662,EUR,value to pick up,"37,300,000.00",TBC,2022-01-17
L*,44007000,EUR,value to pick up,"180,205,656.13",TBC,2022-01-17
