CO,BU,NOM,OGN,CCY,BALANCE,FILE_NAME,FILE_DATE
433,44000566,1200065,CLMS,AUD,"2,667,636.00",TBC,2022-01-17
433,44000600,1200065,CLMS,AUD,"2,529,032.26",TBC,2022-01-17
433,44007000,1200065,CLMS,AUD,"190,000,000.00",TBC,2022-01-17
433,60000505,1200065,CLMS,AUD,"1,842,916.00",TBC,2022-01-17
433,60000513,1200065,CLMS,AUD,"18,000,000.00",TBC,2022-01-17
433,60000514,1200065,CLMS,AUD,"5,377,324.00",TBC,2022-01-17
4655,60000017,1200065,CLMS,AUD,"16,631,267.23",TBC,2022-01-17
433,44000190,1200065,CLMS,CAD,"103,048,962.70",TBC,2022-01-17
433,44003005,1200065,CLMS,CAD,"5,162,000.00",TBC,2022-01-17
433,44007000,1200065,CLMS,CAD,"420,000,000.00",TBC,2022-01-17
433,60000506,1200065,CLMS,CAD,"4,000,000.00",TBC,2022-01-17
433,47004100,1200065,CLMS,CHF,"82,076,202.13",TBC,2022-01-17
433,60000506,1200065,CLMS,CHF,"5,627,690.11",TBC,2022-01-17
433,44003005,1200065,CLMS,DKK,"60,000,000.00",TBC,2022-01-17
4655,60000017,1200065,CLMS,DKK,"48,816,226.91",TBC,2022-01-17
433,14000850,1200065,CLMS,EUR,"18,649,627.67",TBC,2022-01-17
433,32000000,1200065,CLMS,EUR,"974,875.13",TBC,2022-01-17
433,32000024,1200065,CLMS,EUR,"104,853.96",TBC,2022-01-17
433,43000001,1200065,CLMS,EUR,"681,818.18",TBC,2022-01-17
433,43000002,1200065,CLMS,EUR,"10,729,302.79",TBC,2022-01-17
433,44000011,1200065,CLMS,EUR,"1,014,086,104.19",TBC,2022-01-17
433,44000110,1200065,CLMS,EUR,"22,391,326.99",TBC,2022-01-17
433,44000190,1200065,CLMS,EUR,"135,707,902.45",TBC,2022-01-17
433,44000523,1200065,CLMS,EUR,"105,059.85",TBC,2022-01-17
433,44000541,1200065,CLMS,EUR,"5,918,800.00",TBC,2022-01-17
433,44000544,1200065,CLMS,EUR,"13,305,460.42",TBC,2022-01-17
433,44000545,1200065,CLMS,EUR,"80,000,000.00",TBC,2022-01-17
433,44000565,1200065,CLMS,EUR,"19,804,458.57",TBC,2022-01-17
433,44000566,1200065,CLMS,EUR,"16,208,690.00",TBC,2022-01-17
433,44000573,1200065,CLMS,EUR,"13,710,000.00",TBC,2022-01-17
433,44000588,1200065,CLMS,EUR,"29,541,435.08",TBC,2022-01-17
433,44000593,1200065,CLMS,EUR,"49,000,000.00",TBC,2022-01-17
433,44000600,1200065,CLMS,EUR,"761,201,058.85",TBC,2022-01-17
433,44000720,1200065,CLMS,EUR,"4,438,710.42",TBC,2022-01-17
433,44000722,1200065,CLMS,EUR,"414,715,326.13",TBC,2022-01-17
433,44000728,1200065,CLMS,EUR,"540,000.00",TBC,2022-01-17
433,44001114,1200065,CLMS,EUR,"32,196,500.00",TBC,2022-01-17
433,44001122,1200065,CLMS,EUR,"16,666,666.66",TBC,2022-01-17
433,44003003,1200065,CLMS,EUR,"50,936,109.12",TBC,2022-01-17
433,44003005,1200065,CLMS,EUR,"1,056,654,638.45",TBC,2022-01-17
433,44003007,1200065,CLMS,EUR,"49,556,785.69",TBC,2022-01-17
433,44006662,1200065,CLMS,EUR,"37,300,000.00",TBC,2022-01-17
433,44007000,1200065,CLMS,EUR,"180,205,656.13",TBC,2022-01-17
433,45004000,1200065,CLMS,EUR,"69,403,223.25",TBC,2022-01-17
433,45005000,1200065,CLMS,EUR,"50,379,000.00",TBC,2022-01-17
433,47000111,1200065,CLMS,EUR,"165,367,908.51",TBC,2022-01-17
433,47004100,1200065,CLMS,EUR,"105,743,000.00",TBC,2022-01-17
433,47004250,1200065,CLMS,EUR,"87,465,122.08",TBC,2022-01-17
433,47008000,1200065,CLMS,EUR,"73,948,813.83",TBC,2022-01-17
433,56700042,1200065,CLMS,EUR,"17,388,400.00",TBC,2022-01-17
433,58000010,1200065,CLMS,EUR,"10,495,837.86",TBC,2022-01-17
433,60000502,1200065,CLMS,EUR,"13,194,110.00",TBC,2022-01-17
433,60000504,1200065,CLMS,EUR,"15,000,000.00",TBC,2022-01-17
433,60000505,1200065,CLMS,EUR,"142,905,666.35",TBC,2022-01-17
433,60000506,1200065,CLMS,EUR,"410,795,451.47",TBC,2022-01-17
433,60000507,1200065,CLMS,EUR,"6,286,159.93",TBC,2022-01-17
433,60000513,1200065,CLMS,EUR,"300,792,483.75",TBC,2022-01-17
433,60000514,1200065,CLMS,EUR,"34,902,094.13",TBC,2022-01-17
433,60000600,1200065,CLMS,EUR,"91,862,143.91",TBC,2022-01-17
4439,32000015,1200065,CLMS,EUR,"1,972,008.03",TBC,2022-01-17
4439,32000057,1200065,CLMS,EUR,"49,284,765.84",TBC,2022-01-17
4439,47004200,1200065,CLMS,EUR,"105,243,000.00",TBC,2022-01-17
4439,56000016,1200065,CLMS,EUR,"2,085,360.87",TBC,2022-01-17
4439,56100000,1200065,CLMS,EUR,"424,000.00",TBC,2022-01-17
4439,56100001,1200065,CLMS,EUR,"24,998,314.08",TBC,2022-01-17
4439,56200021,1200065,CLMS,EUR,"11,850.27",TBC,2022-01-17
