CLAS_PORT_ID,CLAS_LENDER_TYPE,CLAS_CCY,SUMIFS,FILE_NAME,DATE,UPDATED_AT
L*,100,AUD,"50,564.51",TBC,2022-01-17,2022-01-17 14:44:03
L*,100,CAD,"533,940.23",TBC,2022-01-17,2022-01-17 14:44:03
L*,100,DKK,"191,250.00",TBC,2022-01-17,2022-01-17 14:44:03
L*,100,EUR,"5,710,534.04",TBC,2022-01-17,2022-01-17 14:44:03
L*,100,GBP,"67,638,324.55",TBC,2022-01-17,2022-01-17 14:44:03
L*,100,HKD,"46,404.60",TBC,2022-01-17,2022-01-17 14:44:03
L*,100,SEK,"250,019.92",TBC,2022-01-17,2022-01-17 14:44:03
L*,100,SGD,"7,666.59",TBC,2022-01-17,2022-01-17 14:44:03
L*,100,USD,"5,550,940.23",TBC,2022-01-17,2022-01-17 14:44:03
L*,200,AUD,"42,318.46",TBC,2022-01-17,2022-01-17 14:44:03
L*,200,CAD,"778,902.13",TBC,2022-01-17,2022-01-17 14:44:03
L*,200,EUR,"5,338,810.81",TBC,2022-01-17,2022-01-17 14:44:03
L*,200,GBP,"59,085,689.81",TBC,2022-01-17,2022-01-17 14:44:03
L*,200,HKD,"23,202.30",TBC,2022-01-17,2022-01-17 14:44:03
L*,200,SEK,"250,019.92",TBC,2022-01-17,2022-01-17 14:44:03
L*,200,SGD,"3,833.30",TBC,2022-01-17,2022-01-17 14:44:03
L*,200,USD,"5,073,011.88",TBC,2022-01-17,2022-01-17 14:44:03
L*,500,AUD,"8,246.05",TBC,2022-01-17,2022-01-17 14:44:03
L*,500,CAD,"3,899.89",TBC,2022-01-17,2022-01-17 14:44:03
L*,500,DKK,"191,250.00",TBC,2022-01-17,2022-01-17 14:44:03
L*,500,EUR,"363,702.30",TBC,2022-01-17,2022-01-17 14:44:03
L*,500,GBP,"8,664,231.49",TBC,2022-01-17,2022-01-17 14:44:03
L*,500,HKD,"23,202.30",TBC,2022-01-17,2022-01-17 14:44:03
L*,500,SGD,"3,833.30",TBC,2022-01-17,2022-01-17 14:44:03
L*,500,USD,"503,411.86",TBC,2022-01-17,2022-01-17 14:44:03
L*,600,AUD,"6,867.97",TBC,2022-01-17,2022-01-17 14:44:03
L*,600,CHF,"10,062.89",TBC,2022-01-17,2022-01-17 14:44:03
L*,600,EUR,"3,195,593.17",TBC,2022-01-17,2022-01-17 14:44:03
L*,600,GBP,"55,884,596.22",TBC,2022-01-17,2022-01-17 14:44:03
L*,600,HKD,"215,828.78",TBC,2022-01-17,2022-01-17 14:44:03
L*,600,JPY,"2,347,361.33",TBC,2022-01-17,2022-01-17 14:44:03
L*,600,NOK,"279,707.33",TBC,2022-01-17,2022-01-17 14:44:03
L*,600,SEK,"59,934.57",TBC,2022-01-17,2022-01-17 14:44:03
L*,600,USD,"5,501,356.63",TBC,2022-01-17,2022-01-17 14:44:03
L*,800,GBP,"11,012.25",TBC,2022-01-17,2022-01-17 14:44:03
B*,100,EUR,"281,222.47",TBC,2022-01-17,2022-01-17 14:44:03
B*,100,GBP,"6,784,076.17",TBC,2022-01-17,2022-01-17 14:44:03
B*,100,USD,"226,172.08",TBC,2022-01-17,2022-01-17 14:44:03
